source,target,relationship,co_mention_count,source_document,source_locator,notes
place_aksum,place_beta_giyorgis,CO_OCCURS_WITH,3,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,place_lalibela,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,person_kathryn_bard,CO_OCCURS_WITH,2,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,person_king_ezana,CO_OCCURS_WITH,2,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,person_king_kaleb,CO_OCCURS_WITH,3,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,person_david_w_phillipson,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,person_rodolfo_fattovich,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,period_zagwe_period,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,period_aksumite,CO_OCCURS_WITH,5,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_coin,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_inscription,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_stelae,CO_OCCURS_WITH,5,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_coins,CO_OCCURS_WITH,3,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_gold,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_ivory,CO_OCCURS_WITH,3,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
place_aksum,object_silver,CO_OCCURS_WITH,1,S1,S1 line 1,"No explicit relation verb found; same-sentence co-occurrence only. LOW CONFIDENCE, not a claimed relation."
