source,target,relationship,cidoc_property,source_document,source_locator,evidence_type,confidence,notes
measurement_radiocarbon_determination_oxa_8340,place_tomb_of_the_brick_arches,DATES_CONTEXT_AT,P4_has_time-span / P39i_was_measured_by,S4,S4 p.503,direct_measurement,1.0,
measurement_radiocarbon_determination_oxa_8341,place_tomb_of_the_brick_arches,DATES_CONTEXT_AT,P4_has_time-span / P39i_was_measured_by,S4,S4 p.503,direct_measurement,1.0,
measurement_radiocarbon_determination_oxa_8366,place_mausoleum,DATES_CONTEXT_AT,P4_has_time-span / P39i_was_measured_by,S4,S4 p.504,direct_measurement,1.0,
measurement_radiocarbon_determination_oxa_8358,place_gudit_stelae_field,DATES_CONTEXT_AT,P4_has_time-span / P39i_was_measured_by,S4,S4 p.504,direct_measurement,1.0,
measurement_radiocarbon_determination_room_2_context_su64,feature_room_2_amda_tsion_building,DATES_CONTEXT_AT,P4_has_time-span,S3,S3 p.392,direct_measurement,1.0,
measurement_radiocarbon_determination_room_4_lowest_stratum,feature_room_4_amda_tsion_building,DATES_CONTEXT_AT,P4_has_time-span,S3,S3 p.392,direct_measurement,1.0,
measurement_radiocarbon_determination_su53,feature_room_4_amda_tsion_building,DATES_CONTEXT_AT,P4_has_time-span,S3,S3 p.392,direct_measurement,1.0,
measurement_radiocarbon_determination_su54,feature_room_5_amda_tsion_building,DATES_CONTEXT_AT,P4_has_time-span,S3,S3 p.392,direct_measurement,1.0,
measurement_radiocarbon_determination_su65,feature_room_5_amda_tsion_building,DATES_CONTEXT_AT,P4_has_time-span,S3,S3 p.392,direct_measurement,1.0,
place_beta_giyorgis,place_aksum,PREDECESSOR_COMMUNITY_OF,P130_shows_features_of,S1,S1 p.30,interpretive_synthesis,0.85,"Source states the Beta Giyorgis community 'moved its centre' to the Aksum location c. early 1st century AD — an interpretive continuity claim, not a direct find."
place_seglamen_site_sg1,place_amda_tsion_area_of_sg1,PART_OF,P89_falls_within,S3,S3 p.392,direct_statement,1.0,
place_seglamen_site_sg1,place_mogareb_area_of_sg1,PART_OF,P89_falls_within,S3,S3 p.392,direct_statement,1.0,
feature_room_2_amda_tsion_building,place_amda_tsion_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.392,direct_statement,1.0,
feature_room_4_amda_tsion_building,place_amda_tsion_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.393,direct_statement,1.0,
feature_room_5_amda_tsion_building,place_amda_tsion_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.393,direct_statement,1.0,
feature_tomb_34_mogareb_trench_segxxv,place_mogareb_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.393,direct_statement,1.0,
feature_tomb_35_mogareb_trench_segxxv,place_mogareb_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.393,direct_statement,1.0,
feature_tomb_36_mogareb_trench_segxxv,place_mogareb_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.393,direct_statement,1.0,
feature_tomb_37_mogareb_trench_segxxv,place_mogareb_area_of_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 p.393,direct_statement,1.0,
object_sandstone_stela_tomb_34,feature_tomb_34_mogareb_trench_segxxv,ASSOCIATED_WITH,P128_carries,S3,S3 p.393,direct_statement,1.0,
object_incense_burners_tomb_34_context,feature_tomb_34_mogareb_trench_segxxv,FOUND_AT,P7_took_place_at,S3,S3 p.393,direct_statement,1.0,
object_cast_brass_disc_stela_apex_fitting,place_aksum,FOUND_AT,P7_took_place_at,S1,S1 p.30,direct_statement,0.9,Attached to a stela marking 'one of the royal tombs at Aksum' — specific tomb not named in source excerpt available.
object_ezana_s_long_inscriptions,person_king_ezana,CREATED_BY_COMMISSION_OF,P94i_was_created_by,S1,S1 p.29,interpretive_synthesis,0.9,"Source attributes the inscriptions to Ezana's reign/programme, standard convention for royal inscriptions — not a claim that the king personally inscribed the stone."
object_aksumite_coinage,person_king_ezana,BEARS_NAME_OF,P138_represents,S1,S1 p.29,direct_statement,1.0,"Coins bearing royal names, and Ezana's conversion 'also recorded on Aksumite coins.'"
place_lalibela,person_king_lalibela_zagwe,ASSOCIATED_WITH,P140i_was_attributed_by,S1,S1 p.32,interpretive_synthesis,0.8,"Source: traditional attribution to Zagwe king Lalibela's reign, but notes 'several of them had originated earlier' — flagged as a contested attribution, not settled fact."
place_aksum,person_king_ezana,RULED_BY,P14i_performed,S1,S1 p.29,direct_statement,1.0,
place_aksum,person_king_kaleb,RULED_BY,P14i_performed,S1,S1 p.29,direct_statement,1.0,
place_seglamen_site_sg1,person_luisa_sernicola,EXCAVATED_BY,P14_carried_out_by,S3,S3 p.391,direct_statement,1.0,
place_seglamen_site_sg1,person_andrea_manzo,EXCAVATED_BY,P14_carried_out_by,S3,S3 p.391,direct_statement,1.0,
place_beta_giyorgis,person_rodolfo_fattovich,EXCAVATED_BY,P14_carried_out_by,S1,S1 p.30,direct_statement,1.0,
place_beta_giyorgis,person_kathryn_bard,EXCAVATED_BY,P14_carried_out_by,S1,S1 p.30,direct_statement,1.0,
place_d_site_kidane_mehret,person_david_w_phillipson,EXCAVATED_BY,P14_carried_out_by,S4,S4 TOC p.267,direct_statement,1.0,
place_k_site_maleke_aksum,person_david_w_phillipson,EXCAVATED_BY,P14_carried_out_by,S4,S4 TOC p.381,direct_statement,1.0,
place_seglamen_site_sg1,period_pre_aksumite,DATED_TO,P4_has_time-span,S3,S3 p.392,direct_statement,1.0,
feature_room_4_amda_tsion_building,period_post_aksumite,DISTURBED_DURING,P4_has_time-span,S3,S3 p.392,direct_statement,1.0,"'Both of them were highly disturbed during post-Aksumite times, between 11th and 12th century AD.'"
place_beta_giyorgis,place_aksum,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_beta_giyorgis,place_adulis,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_beta_giyorgis,person_kathryn_bard,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_beta_giyorgis,period_aksumite,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_beta_giyorgis,object_ivory,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_aksum,place_adulis,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_aksum,person_kathryn_bard,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_aksum,period_aksumite,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_aksum,object_ivory,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_adulis,person_kathryn_bard,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_adulis,period_aksumite,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_adulis,object_ivory,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
person_kathryn_bard,period_aksumite,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
person_kathryn_bard,object_ivory,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
period_aksumite,object_ivory,DATED_TO,P4_has_time-span,S1,S1 line 215,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and Kathryn Bard at Beta Giyorgis hill near trading metropolis trading with the outside Aksum have revealed a community appar- world through..."""
place_seglamen_site_sg1,place_aksum,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 78,explicit_pattern_match,0.75,"Pattern-matched sentence: ""of the “Italian contribution to the Education Sector Development Situated in the modern village of Seglamen at Programme (ESPD) - Post Gradu..."""
place_seglamen_site_sg1,period_pre_aksumite,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 78,explicit_pattern_match,0.75,"Pattern-matched sentence: ""of the “Italian contribution to the Education Sector Development Situated in the modern village of Seglamen at Programme (ESPD) - Post Gradu..."""
place_aksum,period_pre_aksumite,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 78,explicit_pattern_match,0.75,"Pattern-matched sentence: ""of the “Italian contribution to the Education Sector Development Situated in the modern village of Seglamen at Programme (ESPD) - Post Gradu..."""
place_seglamen_site_sg1,place_rock_shelter_1_megaru,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 248,explicit_pattern_match,0.75,"Pattern-matched sentence: ""site we went down along the northern slopes of the The recorded shelters are situated more or less terrace moving southwards along the Hasel..."""
place_seglamen_site_sg1,feature_tomb_31,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 262,explicit_pattern_match,0.75,"Pattern-matched sentence: ""The second one, rock shelter #2, is located at ANTHROPOLOGICAL ANALYSIS (E. Minucci) 04° 63’ 8,26” N - 15° 54’ 8,31” E, elevation 2024 m Dur..."""
place_seglamen_site_sg1,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 262,explicit_pattern_match,0.75,"Pattern-matched sentence: ""The second one, rock shelter #2, is located at ANTHROPOLOGICAL ANALYSIS (E. Minucci) 04° 63’ 8,26” N - 15° 54’ 8,31” E, elevation 2024 m Dur..."""
place_rock_shelter_1_megaru,feature_tomb_31,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 262,explicit_pattern_match,0.75,"Pattern-matched sentence: ""The second one, rock shelter #2, is located at ANTHROPOLOGICAL ANALYSIS (E. Minucci) 04° 63’ 8,26” N - 15° 54’ 8,31” E, elevation 2024 m Dur..."""
place_rock_shelter_1_megaru,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 262,explicit_pattern_match,0.75,"Pattern-matched sentence: ""The second one, rock shelter #2, is located at ANTHROPOLOGICAL ANALYSIS (E. Minucci) 04° 63’ 8,26” N - 15° 54’ 8,31” E, elevation 2024 m Dur..."""
feature_tomb_31,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 262,explicit_pattern_match,0.75,"Pattern-matched sentence: ""The second one, rock shelter #2, is located at ANTHROPOLOGICAL ANALYSIS (E. Minucci) 04° 63’ 8,26” N - 15° 54’ 8,31” E, elevation 2024 m Dur..."""
place_aksum,place_seglamen_site_sg1,MADE_OF,P45_consists_of,S3,S3 line 397,explicit_pattern_match,0.75,"Pattern-matched sentence: ""396 | L. Sernicola, Archaeological Expedition at Aksum… 2018 and 2019 Field Seasons: Seglamen of lower grindstones and upper stones are used..."""
place_aksum,object_iron,MADE_OF,P45_consists_of,S3,S3 line 397,explicit_pattern_match,0.75,"Pattern-matched sentence: ""396 | L. Sernicola, Archaeological Expedition at Aksum… 2018 and 2019 Field Seasons: Seglamen of lower grindstones and upper stones are used..."""
place_seglamen_site_sg1,object_iron,MADE_OF,P45_consists_of,S3,S3 line 397,explicit_pattern_match,0.75,"Pattern-matched sentence: ""396 | L. Sernicola, Archaeological Expedition at Aksum… 2018 and 2019 Field Seasons: Seglamen of lower grindstones and upper stones are used..."""
