edge_id,source_node_id,target_node_id,co_mention_count,source,page_ref,sentence_context,notes
ce_001,person_ezana,place_aksum,4,phillipson_2011,p.37,"Ezana ... Aksum ... inscription ... campaign","Ezana and Aksum co-occur in multiple sentences; no explicit locating or ruling verb extracted"
ce_002,person_kaleb,arch_church_maryam,2,phillipson_2011,p.38,"Kaleb ... church ... Zion ... construction","Kaleb and the Church of Zion in same paragraph; construction attribution unclear without explicit verb"
ce_003,object_stele_2,place_adulis,2,phillipson_2011,p.36,"stele ... Adulis ... Rome ... removed","Stele 2 and Adulis co-occur in discussion of the stele's journey to Rome; relation verb ambiguous"
ce_004,place_yeha,period_pre_aksumite,3,phillipson_2011,p.31,"Yeha ... Pre-Aksumite ... temple ... South Arabian","Yeha and Pre-Aksumite period co-occur repeatedly; dating of Yeha to this period implicit not explicit"
ce_005,place_hawulti,period_proto_aksumite,2,phillipson_2011,p.34,"Hawulti-Melazo ... early material ... transition","Hawulti-Melazo mentioned alongside Proto-Aksumite material; precise dating relation not stated"
ce_006,object_aksumite_pottery,period_early_aksumite,2,sernicola_2019,p.11,"fine ware ... early Aksumite ... stratum","Pottery type co-occurs with Early Aksumite period label; stratigraphic assignment implicit"
ce_007,person_fattovich,place_matara,2,phillipson_2011,p.33,"Fattovich ... Matara ... survey ... excavation","Fattovich and Matara in same sentence; work type not explicit (survey vs excavation)"
ce_008,place_mezber,period_proto_aksumite,2,sernicola_2019,p.8,"Mezber ... Proto-Aksumite ... levels ... ceramics","Mezber and Proto-Aksumite period co-occur; date assignment to site levels implicit"
ce_009,object_glass_beads,place_adulis,2,phillipson_2011,p.35,"glass beads ... Adulis ... trade ... Mediterranean","Glass beads and Adulis co-occur in trade discussion; whether beads found AT Adulis not stated"
ce_010,arch_dungur_palace,person_kaleb,1,phillipson_1997,p.47,"Dungur palace ... Kaleb ... 6th century ... royal","Dungur palace and Kaleb in same passage; attribution to Kaleb tentative"
ce_011,place_gobedra,period_pre_aksumite,3,phillipson_2011,p.33,"Gobedra ... rockshelter ... pre-Aksumite ... Iron Age","Gobedra and Pre-Aksumite period co-occur; precise temporal range for rockshelter occupation implicit"
ce_012,arch_beta_giyorgis_terrace,period_proto_aksumite,2,sernicola_2019,p.4,"terrace ... Proto-Aksumite ... construction ... Beta Giyorgis","Terrace complex and Proto-Aksumite period co-occur; construction date not explicitly stated"
ce_013,object_iron_slag,place_beta_giyorgis,1,sernicola_2019,p.12,"iron slag ... Beta Giyorgis ... Ona Nagast ... working","Iron slag co-occurs with Beta Giyorgis and Ona Nagast; primary find-spot unclear from sentence"
ce_014,person_bard,place_mezber,1,phillipson_2011,p.33,"Bard ... Mezber ... Fattovich ... survey","Bard co-occurs with Mezber in acknowledgment of survey team; precise role unclear"
ce_015,c14_beta2_oxf,place_beta_giyorgis,2,phillipson_1997,p.615,"OxA-7847 ... Beta Giyorgis ... layer 2 ... charcoal","Sample lab code and site co-occur; P7 association to Beta Giyorgis implied by layer reference"
