node_id,label,crm_class,entity_type,source,page_ref,confidence,bp_age,cal_68pct,cal_95pct,lab_material,notes
place_aksum,Aksum,E27_Site,place,phillipson_2011,p.30,gold,,,,,Capital city of the Aksumite Kingdom; modern Axum in northern Ethiopia
place_adulis,Adulis,E27_Site,place,phillipson_2011,p.32,gold,,,,,Principal Red Sea port of the Aksumite Kingdom; near modern Massawa Eritrea
place_beta_giyorgis,Beta Giyorgis,E27_Site,place,sernicola_2019,p.3,gold,,,,,Hill site on western edge of Aksum; major multi-period occupation sequence
place_gobedra,Gobedra,E27_Site,place,phillipson_2011,p.33,gold,,,,,Rockshelter site near Aksum; Pre-Aksumite and earlier occupation
place_matara,Matara,E27_Site,place,phillipson_2011,p.35,gold,,,,,Major Aksumite site in Eritrea; excavated 1959–1965 by Anfray
place_yeha,Yeha,E27_Site,place,phillipson_2011,p.31,gold,,,,,Pre-Aksumite site ca. 35 km northeast of Aksum; Temple of the Moon
place_hawulti,Hawulti-Melazo,E27_Site,place,phillipson_2011,p.34,gold,,,,,Site near Aksum with early Aksumite material; stele and votive objects
place_dungur,Dungur,E27_Site,place,phillipson_1997,p.47,gold,,,,,Locality in western Aksum; site of the Dungur palace complex
place_mezber,Mezber,E27_Site,place,sernicola_2019,p.8,gold,,,,,Site in the Tigray highlands; Pre-Aksumite and early Aksumite occupation; excavated by Fattovich
place_ona_nagast,Ona Nagast,E27_Site,place,sernicola_2019,p.5,gold,,,,,Site near Beta Giyorgis; monumental platform structure excavated by Sernicola
place_nefas_mawcha,Nefas Mawcha,E27_Site,place,phillipson_1997,p.52,gold,,,,,Location of the fallen Great Stele (Stele 1) in the Northern Stelae Field
place_enda_mikael,Enda Mikael,E27_Site,place,phillipson_1997,p.53,gold,,,,,Locality in Aksum with sub-surface architectural remains excavated 1993–1997
place_stele_park,Northern Stelae Field,E27_Site,place,phillipson_2011,p.36,gold,,,,,Monumental cemetery zone north of Aksum town centre; UNESCO World Heritage Site
place_tigray,Tigray region,E27_Site,place,phillipson_2011,p.30,gold,,,,,Northern Ethiopian highland region; core territory of the Aksumite Kingdom
place_eritrea,Eritrea,E27_Site,place,phillipson_2011,p.30,gold,,,,,Modern state; corresponds broadly to northern periphery of Aksumite territory
place_mai_shum,Mai Shum,E27_Site,place,phillipson_1997,p.61,gold,,,,,Locality in Aksum; site of a large rock-cut reservoir attributed to the Aksumite period
person_ezana,King Ezana,E21_Person,person,phillipson_2011,p.37,gold,,,,,Aksumite king r. c. 325–360 CE; issued trilingual inscription; converted to Christianity
