id,label,cidoc_class,category,source_document,source_locator,epistemic_provenance,confidence,notes
place_aksum,Aksum,E53_Place,archaeological_site,S1;S3;S4,S1 p.29-32; S4 TOC,academic_excavation_report,1.0,Merges surface variants 'Aksum'/'aksum'/'Axum' seen across source files into a single resolved place node (fixes the Aksum/Axum entity-resolution failure identified in the prior code audit).
place_beta_giyorgis,Beta Giyorgis,E53_Place,archaeological_site,S1,S1 p.30,academic_excavation_report,1.0,Hill near Aksum; excavations by Fattovich & Bard revealed a community ancestral to early Aksum.
place_adulis,Adulis,E53_Place,archaeological_site,S1,S1 p.29-30,academic_excavation_report,1.0,Red Sea port; capital's port city under king Zoscales per the Periplus of the Erythraean Sea.
place_lalibela,Lalibela,E53_Place,archaeological_site,S1,S1 p.32,academic_excavation_report,1.0,Rock-hewn churches; Zagwe-period; St George church dated 13th century in source figure caption.
place_seglamen_site_sg1,Seglamen (site SG1),E53_Place,archaeological_site,S3,S3 p.391-392,academic_excavation_report,1.0,"Pre-Aksumite centre ~15km SW of Aksum, ~7ha, intensively investigated since 2010."
place_amda_tsion_area_of_sg1,Amda Tsion (area of SG1),E53_Place,archaeological_area,S3,S3 p.392,academic_excavation_report,1.0,Settlement area within site SG1 containing the monumental building.
place_mogareb_area_of_sg1,Mogareb (area of SG1),E53_Place,archaeological_area,S3,S3 p.392-393,academic_excavation_report,1.0,Cemetery area within site SG1.
place_d_site_kidane_mehret,D site (Kidane Mehret),E53_Place,archaeological_site,S4,S4 TOC Ch.10 p.267,academic_excavation_report,1.0,Excavation area at Aksum; radiocarbon-dated contexts in Appendix VI.
place_k_site_maleke_aksum,K site (Maleke Aksum),E53_Place,archaeological_site,S4,S4 TOC Ch.11 p.381,academic_excavation_report,1.0,Excavation area at Aksum; radiocarbon-dated contexts in Appendix VI.
place_tomb_of_the_brick_arches,Tomb of the Brick Arches,E53_Place,funerary_monument,S4,S4 Appendix VI p.503,academic_excavation_report,1.0,
place_mausoleum,Mausoleum,E53_Place,funerary_monument,S4,S4 Appendix VI p.504,academic_excavation_report,1.0,
place_gudit_stelae_field,Gudit Stelae Field,E53_Place,funerary_monument,S4,S4 Appendix VI p.504,academic_excavation_report,1.0,
place_tomb_of_bazen,Tomb of Bazen,E53_Place,funerary_monument,S4,S4 TOC Ch.12 p.425,academic_excavation_report,0.9,Listed in table of contents (Chapter 12); body chapter not yet processed — flagged as low-coverage.
place_tomb_of_the_false_door,Tomb of the False Door,E53_Place,funerary_monument,S4,S4 TOC Ch.12 p.425,academic_excavation_report,0.9,Listed in TOC only; body chapter not yet processed.
place_rock_shelter_1_megaru,Rock shelter #1 (Megaru),E53_Place,rock_shelter,S3,S3 p.394,academic_excavation_report,1.0,"Coordinates as given in source: 04°63'6.37"" N, 15°55'09.00"" E; elevation 2018 m asl."
place_rock_shelter_2_megaru,Rock shelter #2 (Megaru),E53_Place,rock_shelter,S3,S3 p.394,academic_excavation_report,1.0,"Coordinates: 04°63'8.26"" N, 15°54'8.31"" E; elevation 2024 m asl."
place_rock_shelter_3_megaru,Rock shelter #3 (Megaru),E53_Place,rock_shelter,S3,S3 p.394,academic_excavation_report,1.0,"Coordinates: 04°63'7.87"" N, 15°54'6.20"" E; elevation 2016 m asl."
place_rock_shelter_4_megaru,Rock shelter #4 (Megaru),E53_Place,rock_shelter,S3,S3 p.394,academic_excavation_report,1.0,"Coordinates: 04°63'8.19"" N, 15°54'5.96"" E; elevation 2011 m asl."
person_king_ezana,King Ezana,E21_Person,historical_ruler,S1,S1 p.29,academic_excavation_report,1.0,2nd quarter 4th century CE; issued long inscriptions in Greek and Ge'ez; adopted Christianity.
person_king_kaleb,King Kaleb,E21_Person,historical_ruler,S1,S1 p.29,academic_excavation_report,1.0,2nd quarter 6th century CE; led military intervention in southern Arabia.
